report_file,manuscript_location,manuscript_claim,citation_key,attributed_source,source_file_used,source_text_or_best_match,assessment,notes
02_model_calibration_audit.md,"`paper/main.tex:174, 311`",A baseline MWR of 0.82 is consistent with Mitchell et al.'s population-table annuity pricing.,`mitchell1999`,"Mitchell, Poterba, Warshawsky, and Brown (1999), *New Evidence on the Money's Worth of Individual Annuities*",[Mitchell_etal1999.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Mitchell_etal1999.txt),The paper finds the average 65-year-old annuity in 1995 delivered about 80-85 cents per premium dollar.,supported,The 0.82 baseline is squarely in the cited range.
02_model_calibration_audit.md,`paper/main.tex:174`,More recent work suggests population-table MWRs around 0.85.,`wettstein2021`,"Wettstein, Munnell, Hou, and Gok (2021), *The Value of Annuities*",[Munnell_Wettstein2021.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Munnell_Wettstein2021.txt),The paper says immediate-annuity money's worth fluctuates around 0.80 and varies roughly from 0.76 to 0.87; 0.85 appears more naturally in the wealth-equivalence discussion.,partially supported,"The manuscript slightly overstates the central MWR level. The source supports a range that includes 0.85, but not 0.85 as the main figure."
02_model_calibration_audit.md,"`paper/main.tex:292, 323`",Gamma is within a Chetty range of 1-3 estimated from labor-supply elasticities.,`chetty2006`,"Chetty (2006), *A New Method of Estimating Risk Aversion*",[EconPapers article page](https://econpapers.repec.org/article/aeaaecrev/v_3a96_3ay_3a2006_3ai_3a5_3ap_3a1821-1834.htm),Chetty reports a mean estimate of risk aversion near 1 and says gamma above 2 requires sharper wage responses.,not supported,The manuscript's 1-3 range is much broader than the cited result and is not a fair summary of the paper.
02_model_calibration_audit.md,`paper/main.tex:298`,"The maximum age is 110, matching Lockwood's truncation of the life table.",`lockwood2012`,"Lockwood (2012), maximum-age truncation",[Lockwood2012.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),Lockwood adjusts the SSA life table so the maximum possible age is 110 to enable backward induction.,supported,Straightforward and accurate.
02_model_calibration_audit.md,`paper/main.tex:312`,"The fixed annuity purchase cost is 1,000 dollars, attributed to Lockwood.",`lockwood2012`,"Lockwood (2012), fixed purchase-cost experiment",[Lockwood2012.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),"Lockwood's local text shows a one-time fixed cost experiment of 2,000 dollars, not 1,000 dollars.",not supported,"This is the clearest numerical mismatch in the block. If the manuscript uses 1,000 on purpose, it needs a different citation or an explicit explanation."
03_results_counterfactuals_audit.md,`paper/main.tex:365`,The decomposition starts from the Yaari benchmark without Social Security.,`yaari1965`,"Yaari (1965), *Uncertain Lifetime, Life Insurance, and the Theory of the Consumer*",`/Users/derektharp/Documents/_Projects/26.29 Annuity Puzzle Simulation/potential references/Yaari1965.txt`,The relevant passage is Case C: no bequest motive; positive assets are held in actuarial notes; bequests are set to zero.,supported,"The citation fairly anchors the no-bequest / fair-annuity benchmark. The 42.4% figure in the surrounding paragraph is the manuscript’s own model result, not from Yaari."
03_results_counterfactuals_audit.md,`paper/main.tex:379`,This health-mortality correlation channel was omitted by Pashchenko.,`pashchenko2013`,"Pashchenko (2013), *Accounting for Non-Annuitization*",`/Users/derektharp/Documents/_Projects/26.29 Annuity Puzzle Simulation/potential references/Pashchenko2013.txt`,"The paper says health uncertainty matters and that high medical expenses coincide with health deterioration, which raises mortality and lowers annuity value.",not supported,"This is the clearest overstatement in the block. Pashchenko explicitly discusses health-linked mortality and medical costs, so she did not omit the mechanism as stated here."
03_results_counterfactuals_audit.md,`paper/main.tex:379`,This health-mortality correlation channel was omitted by Peijnenburg et al.,`peijnenburg2016`,"Peijnenburg, Nijman, and Werker (2016), *The Annuity Puzzle Remains a Puzzle*",`/Users/derektharp/Documents/_Projects/26.29 Annuity Puzzle Simulation/potential references/Peijnenburg_Nijman_Werker2016.txt`,The paper says it does not model background risk as health cost risk and instead studies background risk more generally.,supported,"The paper explicitly excludes health-cost risk, so the manuscript’s omission claim is fair."
03_results_counterfactuals_audit.md,`paper/main.tex:381`,The subjective-survival calibration is based on the 15 percentage point gap documented by O'Dea and Sturrock.,`odeasturrock2023`,"O'Dea and Sturrock (2023), *Survival Pessimism and the Demand for Annuities*",`/Users/derektharp/Documents/_Projects/26.29 Annuity Puzzle Simulation/potential references/ODea_Sturrock2023.txt`,"The paper reports underestimation of survival by ""between 15 and 20 percentage points"" in the relevant age range, with strong age-specific heterogeneity.",partially supported,"The direction and rough magnitude are right, but the source is not a single 15pp gap; it gives a range and a more nuanced age pattern."
03_results_counterfactuals_audit.md,`paper/main.tex:399`,"Pashchenko identified bequest motives, minimum purchase requirements, and pricing loads as key annuity frictions.",`pashchenko2013`,"Pashchenko (2013), *Accounting for Non-Annuitization*",`/Users/derektharp/Documents/_Projects/26.29 Annuity Puzzle Simulation/potential references/Pashchenko2013.txt`,"The abstract and introduction list bequest motives, actuarially unfair prices, and minimum purchase requirements among the major impediments to annuitization.",supported,"The sentence is selective, but the named channels are indeed part of Pashchenko’s identified impediments."
03_results_counterfactuals_audit.md,`paper/main.tex:403`,"Peijnenburg et al. found that full annuitization remains approximately optimal, while omitting health-cost risk / the health-mortality channel.",`peijnenburg2016`,"Peijnenburg, Nijman, and Werker (2016), *The Annuity Puzzle Remains a Puzzle*",`/Users/derektharp/Documents/_Projects/26.29 Annuity Puzzle Simulation/potential references/Peijnenburg_Nijman_Werker2016.txt`,"The abstract and conclusion say that ""(almost) full annuitization remains optimal""; the model focuses on background risk and explicitly does not model it as health cost risk.",supported,"The manuscript’s summary is fair. The source is slightly narrower in wording (""health cost risk""), but the substantive omission claim is correct."
03_results_counterfactuals_audit.md,`paper/main.tex:412`,The baseline 5.3% result closely matches the observed 3.6% ownership rate from Lockwood.,`lockwood2012`,"Lockwood (2012), *Bequest Motives and the Annuity Puzzle*",`/Users/derektharp/Documents/_Projects/26.29 Annuity Puzzle Simulation/potential references/Lockwood2012.txt`,"The results section states that simulated annuity ownership is ""61.0 percent versus 3.6 percent"" without bequest motives, and later compares fixed-cost cases to that observed rate.",supported,"The observed 3.6% benchmark is directly in the source. The 5.3% number is the manuscript’s own baseline prediction, but the comparison itself is fair."
03_results_counterfactuals_audit.md,`paper/main.tex:442`,Group annuity pricing is achievable through employer plans or government-sponsored pools.,`james2006`,"James and Song, *Annuities Markets Around the World: Money’s Worth and Risk Intermediation*",`https://www.cerp.carloalberto.org/wp-content/uploads/2008/12/wp_16.pdf`,"The paper says group rather than individual annuities can save sales costs, mentions employer-sponsored plans, and cites the U.S. federal government’s group annuity plan.",supported,"No local `.txt` copy was available, so I verified this via the PDF. The repo’s bibliographic year is a cataloging choice; the substantive claim is supported."
04_discussion_conclusion_audit.md,`paper/main.tex:519`,Observed voluntary ownership is 3.6 percent among single retirees aged 65-69.,`lockwood2012`,"Lockwood (2012), *Bequest Motives and the Annuity Puzzle*",[potential references/Lockwood2012.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),`Only about 3.6 percent of the sample owns a life annuity.`,supported,The source states the 3.6 percent benchmark directly for the same HRS sample.
04_discussion_conclusion_audit.md,`paper/main.tex:523`,Baseline money's-worth ratio is 0.82.,`mitchell1999`,"Mitchell et al. (1999), *New Evidence on the Money's Worth of Individual Annuities*",[potential references/Mitchell_etal1999.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Mitchell_etal1999.txt),`expected present discounted value of annuity payouts per dollar of annuity premium averages between 80 and 85 cents`,supported,"The source reports 0.80-0.85 overall and 0.814 / 0.854 in the age-65 population table, so 0.82 is a fair rounding. The adjacent 2024 MWR claim in the manuscript is not supported by this citation."
04_discussion_conclusion_audit.md,`paper/main.tex:525`,Marriage provides partial longevity insurance through intra-household risk sharing.,`kotlikoffspivak1981`,"Kotlikoff and Spivak (1981), *The Family as an Incomplete Annuities Market*",[potential references/Kotlikoff_Spivak1981.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Kotlikoff_Spivak1981.txt),`family risksharing arrangements provide powerful incentives for marriage`,supported,"The source is about family risk pooling as incomplete annuity markets, which is a fair basis for the manuscript's wording."
04_discussion_conclusion_audit.md,`paper/main.tex:525`,Housing illiquidity reduces annuity demand by constraining liquid wealth available for annuitization.,`pashchenko2013`,"Pashchenko (2013), *Accounting for non-annuitization*",[potential references/Pashchenko2013.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Pashchenko2013.txt),`illiquidity of housing wealth` and `reducing annuity demand`,supported,This is a close paraphrase of the abstract and conclusion.
04_discussion_conclusion_audit.md,`paper/main.tex:525`,Survival pessimism / subjective survival beliefs can materially reduce annuitization.,`odeasturrock2023`,"O'Dea and Sturrock (2023), *Survival Pessimism and the Demand for Annuities*",[potential references/ODea_Sturrock2023.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/ODea_Sturrock2023.txt),`individuals misperceive their mortality risk` and `capacity to explain significant rates of nonannuitization`,supported,The source directly supports the survival-pessimism mechanism and its quantitative importance.
04_discussion_conclusion_audit.md,`paper/main.tex:527`,Prospect theory loss aversion can reduce optimal annuitization substantially.,`huscott2007`,"Hu and Scott (2007), *Behavioral Obstacles in the Annuity Market*",[potential references/Hu_Scott2007.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Hu_Scott2007.txt),`Mental accounting and loss aversion can explain the unpopularity of annuities`,supported,The article explicitly argues that loss aversion and narrow framing make annuities look unattractive.
04_discussion_conclusion_audit.md,`paper/main.tex:527`,The prospect-theory calibration traces to Tversky and Kahneman (1992).,`tverskykahneman1992`,"Tversky and Kahneman (1992), *Advances in Prospect Theory*",[potential references/Tversky_Kahneman1992.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Tversky_Kahneman1992.txt),`It incorporates a framing process` and discusses `loss aversion`,supported,The manuscript's calibration reference is faithful to the underlying prospect-theory source.
04_discussion_conclusion_audit.md,`paper/main.tex:527`,Framing effects are large; consumption framing boosts stated annuity demand by about 50-70 percent.,`brown2008framing`,"Brown, Kling, Mullainathan, and Wrobel (2008), *A Framing Explanation of the Under-Annuitization Puzzle*",[potential references/Brown_etal2008.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Brown_etal2008.txt),"`72 percent` preferred the annuity in the consumption frame versus `21 percent` in the investment frame; other comparisons are `77 percent` vs `48 percent`, `76 percent` vs `40 percent`, and `71 percent` vs `27 percent`",partially supported,"The source clearly shows large framing effects, but the manuscript's 50-70 percent phrasing is a loose summary of several different comparisons, not a single reported estimate."
04_discussion_conclusion_audit.md,`paper/main.tex:527`,Defaults matter in practice; the Oregon example shows near-zero voluntary annuitization.,`chalmersreuter2012`,"Chalmers and Reuter (2012), *What is the Value of Stock Picking?*",[potential references/Chalmers_Reuter2012.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Chalmers_Reuter2012.txt),"`demand for the default option ranges from 1% for HIGH, where the default is a fixed annuity`",partially supported,"The paper does show very low demand for a fixed-annuity default, but it is a retirement-plan default-investment study, not a direct annuity-pricing or actuarial-fairness study."
04_discussion_conclusion_audit.md,`paper/main.tex:527`,Defaults dominate retirement savings behavior more generally.,`madrian2001`,"Madrian and Shea (2001), *The Power of Suggestion*",[potential references/Madrian_Shea2001.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Madrian_Shea2001.txt),`default contribution rate and default investment allocation ... has a strong influence on the savings behavior`,supported,The manuscript's general default-bias claim is a fair representation of the source.
04_discussion_conclusion_audit.md,`paper/main.tex:529`,Long-term care aversion matters in late-life saving decisions and interacts with the medical expenditure channel.,`ameriks2020`,"Ameriks et al. (2020), *Long-Term-Care Utility and Late-in-Life Saving*",[NBER abstract](https://www.nber.org/papers/w20973),`desire to self-insure against long-term-care risk explains a substantial fraction of the wealthholding of older Americans`,partially supported,"The source supports the LTC-aversion channel directly. The interaction with the specific medical-expenditure channel in this manuscript is an inference, not a quoted result from the paper."
04_discussion_conclusion_audit.md,`paper/main.tex:531`,"Deferred annuities have lower money's-worth ratios, offsetting their actuarial advantage; DIA rates are similar to SPIA rates.",`wettstein2021`,"Wettstein, Munnell, Hou, and Gok (2021), *The Value of Annuities*",[potential references/Munnell_Wettstein2021.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Munnell_Wettstein2021.txt),"`deferred annuities provide better longevity insurance than immediate annuities and, therefore, involve higher premiums` and `deferred annuities ... around 50 cents per dollar of premium`",partially supported,"The source supports the lower expected value / higher premium point. It does not support the claim that DIA ownership rates are similar to SPIA rates, and it does not state the exact 0.50 / 0.45 figures in the manuscript."
04_discussion_conclusion_audit.md,`paper/main.tex:542`,The health-mortality correlation channel identified by Reichling and Smetters is quantitatively important.,`reichlingsmetters2015`,"Reichling and Smetters (2015), *Optimal Annuitization with Stochastic Mortality and Correlated Medical Costs*",[potential references/Reichling_Smetters2015.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Reichling_Smetters2015.txt),`mortality risk itself to be stochastic due to health shocks` and `thereby reducing annuity demand`,supported,The source directly matches the mechanism cited in the conclusion.
04_discussion_conclusion_audit.md,`paper/main.tex:542`,Survival pessimism from O'Dea and Sturrock is quantitatively important.,`odeasturrock2023`,"O'Dea and Sturrock (2023), *Survival Pessimism and the Demand for Annuities*",[potential references/ODea_Sturrock2023.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/ODea_Sturrock2023.txt),`Subjective expectations have the capacity to explain significant rates of nonannuitization`,supported,The source supports the conclusion's description of the channel and its importance.
04_discussion_conclusion_audit.md,`paper/main.tex:574`,Observed ownership is 3.6 percent among single retirees aged 65-69.,`lockwood2012`,"Lockwood (2012), *Bequest Motives and the Annuity Puzzle*",[potential references/Lockwood2012.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),`65-69-year-old single retirees` and `Only about 3.6 percent of the sample owns a life annuity`,supported,The figure caption is a faithful citation of the empirical benchmark in the source paper.
